district_id,state,district,lat,lon,population,female_population,literacy_rate,urban_share,census_match_quality,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,total_2001
139,GUJARAT,AHMEDABAD RURAL,23.0225,72.5715,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,5,27,0,26,0,84,0,142
140,GUJARAT,AHWA-DANG,20.7584,73.6864,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,1,1,0,2,0,2,0,6
141,GUJARAT,AMRELI,21.04832649,71.43457638,1514190.0,743141.0,0.6574201388200952,0.27147113533497597,exact,2,34,2,21,0,94,0,153
142,GUJARAT,ANAND,22.28271821,72.57782052,2092745.0,1005521.0,0.7412527565470232,0.33587357935133694,exact,3,28,0,27,3,210,0,271
143,GUJARAT,BHARUCH,21.75787276,72.67326347,1551019.0,745312.0,0.7209943914291186,0.376183619781077,exact,4,34,0,19,0,56,0,113
144,GUJARAT,BHAVNAGAR,21.7021939,72.16272633,2880365.0,1390164.0,0.6552138357465113,0.47955520732397316,exact,9,51,2,36,7,129,0,234
145,GUJARAT,DAHOD,22.89799225,73.99170613,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,5,15,0,17,0,11,0,48
146,GUJARAT,GANDHINAGAR,23.19367979,72.6722168,1391753.0,667889.0,0.7404287973512541,0.45154157568931214,exact,4,12,3,37,7,116,0,179
147,GUJARAT,HIMATNAGAR,23.6036,72.9639,2880365.0,1390164.0,0.6552138357465113,0.47955520732397316,fuzzy,17,29,4,51,0,165,0,266
148,GUJARAT,JAMNAGAR,22.41060041,69.62062006,2160119.0,1045927.0,0.6465079007221362,0.4628739411286891,exact,20,22,2,18,2,163,0,227
149,GUJARAT,JUNAGADH,20.72568199,70.8398564,2743082.0,1338726.0,0.6718056550988997,0.3701430202782645,exact,14,39,11,44,8,384,0,500
150,GUJARAT,KHEDA NORTH,22.88765313,73.01880352,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,11,30,0,43,0,122,0,206
151,GUJARAT,KUTCH,23.7337,69.8597,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,2,22,2,25,1,176,0,228
152,GUJARAT,MEHSANA,23.52935545,72.45545194,2035064.0,978544.0,0.7383772697074883,0.27849935505189144,fuzzy,4,49,5,47,1,188,0,294
153,GUJARAT,NARMADA,21.70666386,73.68403209,590297.0,289211.0,0.6273723227460075,0.13873005381339287,exact,8,8,0,7,1,9,0,33
154,GUJARAT,NAVSARI,20.86697332,72.8618487,1329672.0,651507.0,0.7535008633708162,0.34563100626655846,exact,2,5,0,6,0,17,0,30
155,GUJARAT,PALANPUR,24.1741,72.4331,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,18,35,2,50,2,152,0,259
156,GUJARAT,PANCHMAHAL,22.80435607,73.61984598,2390776.0,1163815.0,0.6026516076788457,0.18364661091153822,fuzzy,5,46,0,1,23,43,0,118
157,GUJARAT,PATAN,23.80634198,71.75162977,1343734.0,649337.0,0.623570587631183,0.25400976894031246,exact,3,21,0,23,0,78,0,125
158,GUJARAT,PORBANDAR,21.55092352,69.71896988,585449.0,285240.0,0.6724377358232742,0.4769627176257817,exact,6,5,0,10,0,64,0,85
